continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"Europe, United States, Canada, and Oceania",2020-06-01,1168254059,2191.959471332897,2224.0849360358957,2214.166897782241,2205.9563288403965,2191.959471332897,2183.805139305309,2181.715420904611,165244.31937669835,2203.257591689311,1850.1233333333332
Latin America and Caribbean,2020-06-08,659285500,3668.0955261390536,3780.1931797865595,3748.4463456213402,3692.459631068619,3599.53407320284,3562.0610511324076,3549.681288063463,170233.03437810516,3546.5215495438574,2523.286
Asia,2020-06-08,4695793204,4678.605327565891,12430.555412367046,11377.371861078824,8236.16583524435,4432.148706308931,3134.8028186497413,2346.6378552702786,21052.76241724253,421.0552483448506,627.5749999999999
Africa,2020-06-08,1425436439,1299.3806127902944,3908.1673862189627,3296.9993616784773,2312.915706548441,1033.5599494047128,-205.38324871852055,-792.3005958200391,69282.15027390825,1237.1812548912187,145.715
"Europe, United States, Canada, and Oceania",2020-06-08,1168254059,1988.9747430444675,2024.3022549375453,2012.667526038998,2003.5062733213927,1988.9747430444675,1981.3713080292268,1979.683855690767,150012.89080526988,2000.1718774035985,1463.43
Latin America and Caribbean,2020-06-15,659285500,3671.8366463573607,3821.1332307236644,3775.6694113000826,3711.6506496465367,3617.328513019389,3573.249677763662,3559.822447571733,170425.60580667594,3550.533454305749,2430.143
Asia,2020-06-15,4695793204,5751.662324440042,13254.419797973746,12745.258720256932,9404.977395462207,5260.361133694955,3878.0924845935815,3410.8543330916204,16036.762417242495,320.7352483448499,786.999
Africa,2020-06-15,1425436439,2301.271038960958,4696.232791823718,4291.606735292809,3352.157719045783,2133.6464667615405,1300.4571702055591,576.6454658961392,81814.95027390825,1460.981254891219,199.715
"Europe, United States, Canada, and Oceania",2020-06-15,1168254059,1678.8970644820988,1715.0145455712952,1705.2385390321685,1693.16053223169,1678.8970644820988,1670.6620658082516,1668.646148473376,126762.89080526918,1690.1718774035892,1240.5739999999998
Latin America and Caribbean,2020-06-22,659285500,3651.919904985615,3786.2660406363384,3771.9636560311874,3689.5507045990776,3609.9866346741946,3563.1290485482696,3553.1502291987695,169032.57723524797,3521.512025734333,2739.86
Asia,2020-06-22,4695793204,8598.261050271536,14307.363415697628,13912.649425262583,10665.637778964612,6813.278765402969,4440.039618902589,3780.606473444534,26855.19278035768,537.1038556071536,1128.143
Africa,2020-06-22,1425436439,2481.867063887702,4718.988170469611,4438.237780426114,3558.338695840755,2293.5489009105645,1489.2967399382328,1081.6037658787973,86867.75027390817,1551.2098263197886,225.288
"Europe, United States, Canada, and Oceania",2020-06-22,1168254059,2312.3950163264217,2347.39209572452,2341.039553446587,2326.732679598879,2312.3950163264217,2304.4759671170136,2302.6760612442718,174309.2479481263,2324.1233059750175,1067.569
Latin America and Caribbean,2020-06-29,659285500,3764.415940564243,3890.945040839542,3854.302023498222,3802.6468737722034,3739.5948907214397,3692.469525717076,3678.483166743625,174698.74866381942,3639.557263829571,2662.574
Asia,2020-06-29,4695793204,8795.207939804088,15612.272544707143,14716.50368706565,11958.386271474228,7664.471379820536,5235.459481078863,4476.06739325534,23576.47849464341,471.52956989286815,959
Africa,2020-06-29,1425436439,2479.735631381267,4842.420050777904,4539.362307686624,3580.6625329685435,2399.1631549406848,1435.359538262325,995.9404668371849,91909.35027390826,1641.2383977483619,219.85399999999998
"Europe, United States, Canada, and Oceania",2020-06-29,1168254059,2232.4197886232805,2266.063442622477,2258.7035016781297,2246.5837874298577,2232.4197886232805,2224.2424701572377,2220.9851195286337,168329.1765195562,2244.3890202607495,975.5740000000001
Latin America and Caribbean,2020-07-06,659285500,4583.837330136725,4711.504810732451,4664.325313048762,4606.079088396604,4529.930006430177,4487.299509466596,4475.2543106912135,212094.92119838082,4418.644191632934,2641.5730000000003
Asia,2020-07-06,4695793204,10259.136891764218,16289.72895390649,15205.149449562314,12814.109111934702,8715.985353859178,6618.560781669437,6211.896879438239,48260.479262692475,965.2095852538496,1070.857
Africa,2020-07-06,1425436439,2159.7822810964158,4955.9059462243295,4564.177465918352,3791.42286546909,2159.7822810964158,1282.5838252363278,1039.0744687518197,88115.09909111247,1573.483912341294,247.572
"Europe, United States, Canada, and Oceania",2020-07-06,1168254059,2591.305227691045,2624.9088914674085,2617.1373615149837,2604.746044015856,2591.305227691045,2582.558866276194,2578.05000353726,195236.90578222802,2603.15874376304,933.686
Latin America and Caribbean,2020-07-13,659285500,4647.610500787707,4789.1093772832,4753.7068634040525,4676.159150746997,4596.171326509859,4553.302442011701,4540.637147356186,215112.74976981006,4481.515620204376,2755.141
Asia,2020-07-13,4695793204,10014.800379623568,16942.6904645939,15224.365735858013,12349.96017314048,8588.361126107991,6955.594788987263,6394.936447445151,53040.90783412119,1060.818156682424,1165.857
Africa,2020-07-13,1425436439,2854.3431254614566,5839.340914216161,5651.88884923742,4490.231138493856,2854.3431254614566,2135.3292777155007,1912.5897666381236,101265.49909111255,1808.312483769867,264.995
"Europe, United States, Canada, and Oceania",2020-07-13,1168254059,2775.070848159408,2808.8720470872136,2801.2793913966393,2789.5713795999272,2775.070848159408,2766.2288813909604,2763.835872045432,209028.33435365837,2787.0444580487783,1165
Latin America and Caribbean,2020-07-20,659285500,4601.672940474734,4739.197320499425,4717.710041653738,4632.170959411303,4555.0611928972285,4512.250802390673,4500.767288299634,213010.12119838153,4437.710858299615,2799.143
Asia,2020-07-20,4695793204,11445.25622723413,17891.478669007072,15760.660946516802,12915.471484818323,8806.242027202496,7358.660900904741,6748.175941249294,53640.76497697822,1072.8152995395644,1408.287
Africa,2020-07-20,1425436439,3766.922643710813,6373.334130155191,5939.458366136789,4654.474797775474,3324.502171103182,2302.8142979726454,1944.8289961056507,102847.89909111253,1836.5696266270095,280.003
"Europe, United States, Canada, and Oceania",2020-07-20,1168254059,2966.890691121205,3000.1391555237497,2993.051429510829,2980.0461814416694,2966.0473283329648,2955.9804565098366,2953.0314345316683,223417.6200679422,2978.901600905896,1145.314
